match_type,venue,city,toss_winner,toss_decision,team1,team2,overs_limit,balls_per_over,first_innings_runs,first_innings_wickets,first_innings_extras,first_innings_boundaries,first_innings_overs,second_innings_runs,second_innings_wickets,second_innings_extras,second_innings_boundaries,second_innings_overs,season,player_of_the_match,result
"T20","Shere Bangla National Stadium","Mirpur","Pakistan","bat","Bangladesh","Pakistan","20","6","135","7","14","13","21","85","9","11","4","20.5","2011/12","Mohammad Hafeez","Pakistan"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Bangladesh","Pakistan","50","6","91","10","12","7","31","93","5","8","14","26.2","2011/12","Shahid Afridi","Pakistan"
"ODI","Shere Bangla National Stadium","Mirpur","Pakistan","bat","Bangladesh","Pakistan","50","6","262","7","22","24","52.3","186","7","14","15","51.3","2011/12","Nasir Hossain","Pakistan"
"ODI","Zahur Ahmed Chowdhury Stadium","Chittagong","Pakistan","bat","Bangladesh","Pakistan","50","6","177","10","16","16","46.4","119","10","12","11","38.5","2011/12","Umar Akmal","Pakistan"
"Test","Zahur Ahmed Chowdhury Stadium","Chittagong","Pakistan","field","Bangladesh","Pakistan","undefined","6","135","10","10","19","51.3","594","5","34","59","179","2011/12","Younis Khan","Pakistan"
"Test","Shere Bangla National Stadium","Mirpur","Pakistan","field","Bangladesh","Pakistan","undefined","6","338","10","3","42","107.2","470","10","19","59","156.5","2011/12","Shakib Al Hasan","Pakistan"
"T20","Civil Service Cricket Club, Stormont","Belfast","Ireland","field","Ireland","Bangladesh","20","6","190","5","10","23","20.1","119","8","8","12","20.3","2012","Elias Sunny","Bangladesh"
"T20","Sportpark Westvliet","The Hague","Netherlands","bat","Netherlands","Bangladesh","20","6","144","7","9","14","20.2","145","2","2","17","18","2012","","Bangladesh"
"T20","Sportpark Westvliet","The Hague","Bangladesh","bat","Netherlands","Bangladesh","20","6","128","10","3","12","20.1","131","9","3","14","20.1","2012","","Netherlands"
"Test","Shere Bangla National Stadium","Mirpur","West Indies","bat","Bangladesh","West Indies","undefined","6","527","4","27","63","145.4","556","10","31","76","149.5","2012/13","KOA Powell","West Indies"
"Test","Sheikh Abu Naser Stadium","Khulna","Bangladesh","bat","Bangladesh","West Indies","undefined","6","387","10","8","54","91.2","648","9","27","66","202.1","2012/13","MN Samuels","West Indies"
"ODI","Sheikh Abu Naser Stadium","Khulna","West Indies","bat","Bangladesh","West Indies","50","6","199","10","11","24","47.5","201","3","8","30","41.2","2012/13","Sohag Gazi","Bangladesh"
"ODI","Sheikh Abu Naser Stadium","Khulna","West Indies","field","Bangladesh","West Indies","50","6","292","6","26","32","51.4","132","10","8","12","32.1","2012/13","Anamul Haque","Bangladesh"
"ODI","Shere Bangla National Stadium","Mirpur","West Indies","field","Bangladesh","West Indies","50","6","227","10","26","22","51.4","228","6","20","28","48.1","2012/13","MN Samuels","West Indies"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","field","Bangladesh","West Indies","50","6","211","9","19","22","52","136","10","26","10","36.2","2012/13","DJG Sammy","West Indies"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","field","Bangladesh","West Indies","50","6","217","10","23","22","49.4","221","8","27","26","46.4","2012/13","Mahmudullah","Bangladesh"
"T20","Shere Bangla National Stadium","Mirpur","West Indies","bat","Bangladesh","West Indies","20","6","197","4","8","28","20.3","179","1","5","23","20.2","2012/13","MN Samuels","West Indies"
"Test","Galle International Stadium","undefined","Sri Lanka","bat","Sri Lanka","Bangladesh","undefined","6","570","4","35","64","136.4","638","10","10","71","197.1","2012/13","Mushfiqur Rahim","draw"
"Test","R Premadasa Stadium","Colombo","Sri Lanka","field","Sri Lanka","Bangladesh","undefined","6","240","10","17","13","84.2","346","10","20","28","113.3","2012/13","HMRKB Herath","Sri Lanka"
"ODI","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa","Hambantota","Sri Lanka","field","Sri Lanka","Bangladesh","50","6","259","8","14","26","51.1","238","2","17","24","36.3","2012/13","TM Dilshan","Sri Lanka"
"ODI","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa","Hambantota","Bangladesh","field","Sri Lanka","Bangladesh","50","6","33","0","5","4","5.1","0","0","0","0","0","2012/13","","no result"
"ODI","Pallekele International Cricket Stadium","undefined","Sri Lanka","bat","Sri Lanka","Bangladesh","50","6","302","9","17","29","51.5","184","7","26","23","26.5","2012/13","TM Dilshan","Bangladesh"
"T20","Pallekele International Cricket Stadium","undefined","Bangladesh","field","Sri Lanka","Bangladesh","20","6","198","5","26","20","21.2","181","7","8","21","20.5","2012/13","MDKJ Perera","Sri Lanka"
"T20","Queens Sports Club","Bulawayo","Zimbabwe","bat","Zimbabwe","Bangladesh","20","6","168","5","11","18","20.5","162","8","6","21","20.3","2013","H Masakadza","Zimbabwe"
